BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters;Percent;PrevVotes;PrevPercent;DiffPercentPts;InvalidFirst;InvalidSecond;ValidFirst;ValidSecond
41;2021;241;176770.0;128894.0;72.91621881540985;179883.0;74.940378;-2.024159;1217.0;1308.0;127677.0;127586.0
42;2021;242;190336.0;143712.0;75.50437121721588;193433.0;77.045282;-1.540911;1184.0;1262.0;142528.0;142450.0
43;2021;243;231250.0;174581.0;75.4944864864865;232926.0;77.986142;-2.491655;1464.0;1879.0;173117.0;172702.0
44;2021;244;214482.0;158022.0;73.6761126807844;214612.0;75.552625;-1.876513;1388.0;1192.0;156634.0;156830.0
45;2021;245;219966.0;166592.0;75.73534091632344;218556.0;77.26212;-1.52678;1568.0;1762.0;165024.0;164830.0
46;2021;246;184471.0;132893.0;72.0400496555014;187377.0;74.59827;-2.55822;1345.0;1284.0;131548.0;131609.0
47;2021;247;238323.0;181202.0;76.03210768578778;239923.0;78.56479;-2.532682;1654.0;2110.0;179548.0;179092.0
48;2021;248;215131.0;161685.0;75.15653253134137;218349.0;77.67977;-2.523237;1676.0;1907.0;160009.0;159778.0
49;2021;249;200922.0;147218.0;73.2712196772877;206133.0;76.186734;-2.915514;1794.0;1496.0;145424.0;145722.0
50;2021;250;187721.0;140807.0;75.00865646358159;192041.0;76.916908;-1.908252;1254.0;1513.0;139553.0;139294.0
51;2021;251;180147.0;130671.0;72.53576246065712;183961.0;74.637015;-2.101253;1623.0;1467.0;129048.0;129204.0
52;2021;252;197519.0;143611.0;72.70743574035914;202963.0;74.386465;-1.679029;1544.0;1296.0;142067.0;142315.0
53;2021;254;214542.0;161876.0;75.45189286946146;220420.0;77.37365;-1.921757;2399.0;1571.0;159477.0;160305.0
54;2021;166;245384.0;186308.0;75.92508068985752;252496.0;74.481972;1.443109;1337.0;1071.0;184971.0;185237.0
55;2021;167;214365.0;144123.0;67.23252396613253;221655.0;66.705015;0.527509;2037.0;1320.0;142086.0;142803.0
56;2021;1;172726.0;122512.0;70.9285226312194;176002.0;68.310587;2.617935;1675.0;1504.0;120837.0;121008.0
57;2021;2;182836.0;130965.0;71.62976656675927;184716.0;70.307932;1.321834;1815.0;1719.0;129150.0;129246.0
58;2021;3;249331.0;195208.0;78.29271129542657;243108.0;76.102802;2.189909;2470.0;2120.0;192738.0;193088.0
59;2021;4;230391.0;177065.0;76.85413058669826;226424.0;75.097604;1.756526;2856.0;2567.0;174209.0;174498.0
60;2021;5;202955.0;147618.0;72.7343499790594;203983.0;70.53676;2.19759;2239.0;2039.0;145379.0;145579.0
61;2021;6;232797.0;190547.0;81.85114069339382;226640.0;79.41096;2.440181;1702.0;1662.0;188845.0;188885.0
62;2021;7;252744.0;194461.0;76.9399075744627;248708.0;75.432636;1.507272;2948.0;2731.0;191513.0;191730.0
63;2021;9;191387.0;142414.0;74.41153265373302;194759.0;71.909899;2.501634;1973.0;1824.0;140441.0;140590.0
64;2021;10;171267.0;128323.0;74.92570080634331;178676.0;73.939981;0.98572;1960.0;1768.0;126363.0;126555.0
65;2021;11;162410.0;120351.0;74.10319561603349;168543.0;73.194971;0.908225;2068.0;1887.0;118283.0;118464.0
66;2021;461;159998.0;108881.0;68.05147564344554;165625.0;67.135396;0.916079;1301.0;1137.0;107580.0;107744.0
67;2021;463;215532.0;148520.0;68.90856114173302;220786.0;68.165101;0.74346;1774.0;1557.0;146746.0;146963.0
68;2021;465;207942.0;138572.0;66.63973608025314;215607.0;66.587356;0.05238;1728.0;1522.0;136844.0;137050.0
69;2021;466;229198.0;156789.0;68.40766498835067;238060.0;68.425607;-0.017942;1497.0;1405.0;155292.0;155384.0
70;2021;467;169749.0;115204.0;67.8672628410182;177005.0;69.752832;-1.885569;1385.0;1235.0;113819.0;113969.0
71;2021;469;214563.0;139289.0;64.91753004944934;224401.0;65.929296;-1.011766;2093.0;1843.0;137196.0;137446.0
72;2021;471;209765.0;148576.0;70.82973804018783;214668.0;71.024559;-0.194821;1505.0;1352.0;147071.0;147224.0
73;2021;473;184352.0;125866.0;68.27482207950008;191636.0;68.473043;-0.198221;1573.0;1287.0;124293.0;124579.0
74;2021;475;198676.0;133064.0;66.97537699571161;207103.0;67.70689;-0.731513;1727.0;1483.0;131337.0;131581.0
75;2021;14;207483.0;152506.0;73.50288939334789;206706.0;73.24993;0.25296;2296.0;2087.0;150210.0;150419.0
76;2021;16;235647.0;184636.0;78.35279040259371;237071.0;79.511623;-1.158833;2530.0;2252.0;182106.0;182384.0
77;2021;18;176585.0;128577.0;72.81309284480561;182398.0;75.242053;-2.42896;2951.0;2678.0;125626.0;125899.0
78;2021;20;180251.0;126551.0;70.20820966319188;184608.0;72.049424;-1.841214;3394.0;3022.0;123157.0;123529.0
79;2021;22;217814.0;177241.0;81.37263904064936;221210.0;81.696126;-0.323487;2421.0;2372.0;174820.0;174869.0
80;2021;24;196800.0;155726.0;79.1290650406504;198672.0;79.54518;-0.416115;1920.0;1943.0;153806.0;153783.0
81;2021;26;231500.0;178035.0;76.9049676025918;235250.0;77.007014;-0.102046;2786.0;2898.0;175249.0;175137.0
82;2021;28;197037.0;139712.0;70.90647949369915;202618.0;70.849085;0.057394;3167.0;2701.0;136545.0;137011.0
83;2021;30;220014.0;172469.0;78.39001154471988;223427.0;77.559561;0.830451;2102.0;1828.0;170367.0;170641.0
84;2021;32;207127.0;158748.0;76.64283265822418;205106.0;76.599904;0.042928;2509.0;2818.0;156239.0;155930.0
85;2021;34;197988.0;137133.0;69.26328868416267;200704.0;69.252232;0.011057;2783.0;3017.0;134350.0;134116.0
86;2021;36;200673.0;145569.0;72.54040154878832;205300.0;72.63322;-0.092818;2772.0;2706.0;142797.0;142863.0
87;2021;257;176306.0;140020.0;79.41873787619252;179273.0;78.44126;0.977478;1107.0;727.0;138913.0;139293.0
88;2021;259;226420.0;170670.0;75.37761681830227;228248.0;75.860029;-0.482413;1883.0;1583.0;168787.0;169087.0
89;2021;261;192346.0;145368.0;75.57630520000416;190051.0;74.890424;0.685881;1649.0;1397.0;143719.0;143971.0
90;2021;263;199656.0;153645.0;76.95486236326482;199675.0;75.920871;1.033991;1707.0;1516.0;151938.0;152129.0
91;2021;265;249035.0;194862.0;78.24683277450961;248982.0;76.915199;1.331634;1909.0;1461.0;192953.0;193401.0
92;2021;267;249198.0;192814.0;77.3738151991589;246753.0;76.106876;1.266939;2031.0;1540.0;190783.0;191274.0
93;2021;269;190630.0;140901.0;73.9133399779678;192574.0;72.552889;1.360451;1097.0;821.0;139804.0;140080.0
94;2021;271;242483.0;204955.0;84.52345112853273;240985.0;82.154076;2.369375;972.0;622.0;203983.0;204333.0
95;2021;273;204539.0;155242.0;75.89848390771442;203647.0;73.965735;1.932749;1107.0;840.0;154135.0;154402.0
96;2021;275;230215.0;185557.0;80.60161153704146;227583.0;79.28492;1.316691;1447.0;1113.0;184110.0;184444.0
97;2021;277;238627.0;188217.0;78.87498061828711;237415.0;77.625677;1.249304;1751.0;1393.0;186466.0;186824.0
98;2021;279;216063.0;176637.0;81.75254439677316;216020.0;80.785575;0.966969;1317.0;1216.0;175320.0;175421.0
99;2021;281;206640.0;160146.0;77.5;208418.0;75.134105;2.365895;1639.0;1472.0;158507.0;158674.0
100;2021;283;217193.0;176933.0;81.463490996487;217425.0;80.220766;1.242725;1349.0;1037.0;175584.0;175896.0
101;2021;285;209102.0;154163.0;73.72621973964858;212212.0;73.105668;0.620552;1403.0;1163.0;152760.0;153000.0
102;2021;287;202528.0;146699.0;72.43393506083109;208129.0;72.046663;0.387272;1741.0;1300.0;144958.0;145399.0
103;2021;289;220204.0;163495.0;74.24706181540753;222845.0;73.60228;0.644782;1526.0;1277.0;161969.0;162218.0
104;2021;291;203030.0;159457.0;78.53863960990986;205244.0;78.10947;0.42917;1561.0;1149.0;157896.0;158308.0
105;2021;293;160175.0;123769.0;77.27110972373966;163229.0;76.883397;0.387713;1172.0;877.0;122597.0;122892.0
106;2021;295;220827.0;175110.0;79.29736852830497;220764.0;78.340219;0.95715;1162.0;807.0;173948.0;174303.0
107;2021;297;190102.0;142287.0;74.84771333284237;193175.0;74.336224;0.51149;1153.0;855.0;141134.0;141432.0
108;2021;299;213250.0;162167.0;76.04548651817116;214779.0;74.518459;1.527028;1605.0;1201.0;160562.0;160966.0
109;2021;301;185185.0;129646.0;70.00891000891001;190552.0;69.275578;0.733332;1707.0;1241.0;127939.0;128405.0
110;2021;303;200048.0;155726.0;77.84431736383269;201450.0;77.157607;0.68671;1520.0;1132.0;154206.0;154594.0
111;2021;305;227166.0;175085.0;77.07359375962952;227423.0;76.192821;0.880772;1740.0;1333.0;173345.0;173752.0
112;2021;307;225463.0;171093.0;75.88517849935467;226096.0;74.772221;1.112958;1628.0;1326.0;169465.0;169767.0
113;2021;309;206270.0;160625.0;77.87123672855965;207178.0;77.394318;0.476919;1460.0;1128.0;159165.0;159497.0
114;2021;311;175852.0;131664.0;74.87205149785046;179118.0;74.646323;0.225729;1378.0;1048.0;130286.0;130616.0
115;2021;313;163394.0;118600.0;72.58528464937513;167998.0;72.404433;0.180851;1320.0;1006.0;117280.0;117594.0
116;2021;315;155265.0;98339.0;63.33623160403181;160204.0;64.732466;-1.396235;1530.0;1173.0;96809.0;97166.0
117;2021;317;199156.0;145232.0;72.92373817509892;204816.0;73.388798;-0.46506;1478.0;1216.0;143754.0;144016.0
118;2021;319;182895.0;139658.0;76.3596599141584;187746.0;76.091102;0.268558;1503.0;1069.0;138155.0;138589.0
119;2021;321;156298.0;105472.0;67.48134972936313;163326.0;67.575891;-0.094541;1274.0;1063.0;104198.0;104409.0
120;2021;323;190335.0;152860.0;80.31103055139623;192918.0;79.482474;0.828556;1013.0;797.0;151847.0;152063.0
121;2021;325;165193.0;121640.0;73.63508138964725;169267.0;73.232231;0.402851;1121.0;903.0;120519.0;120737.0
122;2021;327;186413.0;137841.0;73.94387730469441;189376.0;74.346802;-0.402925;1467.0;1103.0;136374.0;136738.0
123;2021;329;168496.0;112317.0;66.65855569271673;175210.0;68.154786;-1.49623;1233.0;1033.0;111084.0;111284.0
124;2021;331;202388.0;156894.0;77.52139454908394;202192.0;76.464944;1.05645;1176.0;975.0;155718.0;155919.0
125;2021;333;199344.0;148734.0;74.61172646279798;202793.0;74.875366;-0.263639;1378.0;1111.0;147356.0;147623.0
126;2021;335;201103.0;162159.0;80.63479908305695;199978.0;79.081699;1.5531;1260.0;883.0;160899.0;161276.0
127;2021;337;194695.0;161064.0;82.72631551914533;192946.0;81.272999;1.453317;1118.0;882.0;159946.0;160182.0
128;2021;339;195513.0;155635.0;79.60340233130277;195571.0;77.99776;1.605642;1292.0;1103.0;154343.0;154532.0
129;2021;341;233953.0;196276.0;83.89548328082991;232294.0;82.262133;1.63335;981.0;820.0;195295.0;195456.0
130;2021;343;208754.0;165808.0;79.42746007262136;209604.0;78.019026;1.408434;1443.0;1186.0;164365.0;164622.0
131;2021;345;234177.0;179726.0;76.7479299845843;234272.0;75.428562;1.319368;1604.0;1378.0;178122.0;178348.0
132;2021;347;243059.0;185345.0;76.25514792704652;246216.0;75.60516;0.649988;1481.0;1182.0;183864.0;184163.0
133;2021;349;226894.0;170464.0;75.12935555810202;228976.0;73.660122;1.469234;1646.0;1408.0;168818.0;169056.0
134;2021;351;201888.0;152935.0;75.75239736883816;204203.0;74.034662;1.717736;1419.0;1363.0;151516.0;151572.0
135;2021;353;224415.0;172402.0;76.82285052246954;227196.0;75.437508;1.385343;1897.0;1531.0;170505.0;170871.0
136;2021;355;172435.0;134346.0;77.91109693507698;174634.0;76.219407;1.691689;1416.0;1258.0;132930.0;133088.0
137;2021;357;231534.0;178377.0;77.0413848506051;229056.0;75.005239;2.036146;1540.0;1395.0;176837.0;176982.0
138;2021;359;201594.0;144751.0;71.80322827068267;207384.0;72.350808;-0.54758;1651.0;1142.0;143100.0;143609.0
139;2021;361;175283.0;136706.0;77.99159074182893;178506.0;77.10217;0.889421;1252.0;1006.0;135454.0;135700.0
140;2021;363;202393.0;154691.0;76.4310030485244;206460.0;76.015209;0.415794;2624.0;1103.0;152067.0;153588.0
141;2021;365;173939.0;123045.0;70.7403170076866;179247.0;71.395337;-0.65502;1535.0;1204.0;121510.0;121841.0
142;2021;367;206727.0;155814.0;75.37186724520744;211316.0;73.868992;1.502875;1098.0;940.0;154716.0;154874.0
143;2021;369;199317.0;143855.0;72.17397412162535;203300.0;70.749631;1.424343;1298.0;1065.0;142557.0;142790.0
144;2021;371;194493.0;148083.0;76.13795869260076;197873.0;76.226165;-0.088207;1322.0;1147.0;146761.0;146936.0
145;2021;373;231226.0;168760.0;72.98487194346657;235213.0;72.92284;0.062032;1708.0;1332.0;167052.0;167428.0
146;2021;375;231811.0;179003.0;77.21937267860454;232301.0;75.059513;2.159859;1554.0;1174.0;177449.0;177829.0
147;2021;377;200496.0;156518.0;78.0653978134227;202768.0;75.955772;2.109626;1101.0;1024.0;155417.0;155494.0
148;2021;379;207672.0;162162.0;78.08563503987057;212912.0;76.231495;1.85414;1336.0;1164.0;160826.0;160998.0
149;2021;381;203350.0;154830.0;76.13966068355053;206716.0;73.79303;2.346631;1446.0;1159.0;153384.0;153671.0
150;2021;383;195816.0;143689.0;73.37960125832414;200546.0;72.538969;0.840633;1229.0;1081.0;142460.0;142608.0
151;2021;430;161279.0;119206.0;73.91290868618977;163916.0;72.091803;1.821106;1541.0;1449.0;117665.0;117757.0
152;2021;432;224100.0;167696.0;74.83087907184293;220654.0;73.149365;1.681514;1569.0;1277.0;166127.0;166419.0
153;2021;434;231178.0;180880.0;78.24273936101186;227718.0;76.936386;1.306353;1421.0;1043.0;179459.0;179837.0
154;2021;436;212853.0;162283.0;76.24181947165415;215616.0;74.818659;1.42316;2042.0;1836.0;160241.0;160447.0
155;2021;438;197004.0;149341.0;75.80607500355323;201310.0;75.996225;-0.19015;1904.0;1747.0;147437.0;147594.0
156;2021;440;206895.0;159233.0;76.96319389062086;213990.0;75.386233;1.576961;2098.0;2145.0;157135.0;157088.0
157;2021;442;204105.0;153057.0;74.98934372014403;213021.0;73.273996;1.715347;2234.0;2064.0;150823.0;150993.0
158;2021;444;199703.0;154159.0;77.19413328793257;202580.0;77.175437;0.018696;2120.0;2005.0;152039.0;152154.0
159;2021;446;228643.0;181120.0;79.21519574183333;232636.0;78.598755;0.616441;1577.0;1394.0;179543.0;179726.0
160;2021;448;234432.0;189409.0;80.79485735735736;235464.0;79.340366;1.454491;1649.0;1404.0;187760.0;188005.0
161;2021;450;193828.0;147733.0;76.21860618692861;201629.0;74.715443;1.503163;2005.0;1741.0;145728.0;145992.0
162;2021;452;188691.0;140700.0;74.56635451611365;195929.0;75.138443;-0.572088;1371.0;1121.0;139329.0;139579.0
163;2021;454;177211.0;137423.0;77.54766916274949;183483.0;75.696931;1.850738;1664.0;1441.0;135759.0;135982.0
164;2021;456;210941.0;161756.0;76.68305355525953;220917.0;75.458656;1.224397;2261.0;2121.0;159495.0;159635.0
165;2021;458;197831.0;147142.0;74.37762534688699;207606.0;72.709845;1.667781;1854.0;1596.0;145288.0;145546.0
166;2021;460;184973.0;137816.0;74.50600898509512;193081.0;73.94565;0.560359;2065.0;1673.0;135751.0;136143.0
167;2021;169;184073.0;138130.0;75.0408805202284;186825.0;76.463;-1.42212;2140.0;2087.0;135990.0;136043.0
168;2021;171;218474.0;162809.0;74.52099563334768;222451.0;75.457067;-0.936071;2213.0;1980.0;160596.0;160829.0
169;2021;173;171886.0;130905.0;76.15803497667059;175992.0;75.984136;0.173899;1865.0;1879.0;129040.0;129026.0
170;2021;175;185944.0;141494.0;76.09495331927893;188074.0;77.49237;-1.397417;2240.0;2323.0;139254.0;139171.0
171;2021;177;181588.0;141581.0;77.96825781439301;183296.0;77.669453;0.298805;1503.0;1312.0;140078.0;140269.0
172;2021;179;206532.0;153384.0;74.26645749811168;208744.0;74.254589;0.011868;2339.0;1984.0;151045.0;151400.0
173;2021;181;217514.0;161919.0;74.44072565444063;217806.0;76.499729;-2.059003;2144.0;2217.0;159775.0;159702.0
174;2021;183;208542.0;163560.0;78.43024426734183;209966.0;77.1463;1.283944;1895.0;1856.0;161665.0;161704.0
175;2021;185;178307.0;137070.0;76.87303358813732;179307.0;77.070611;-0.197577;2186.0;2033.0;134884.0;135037.0
176;2021;187;179842.0;144012.0;80.07695643954138;181516.0;80.607219;-0.530263;1556.0;1330.0;142456.0;142682.0
177;2021;189;176897.0;138935.0;78.54005438192847;176435.0;78.699238;-0.159183;2010.0;1678.0;136925.0;137257.0
178;2021;191;220466.0;172247.0;78.12860032839531;220342.0;78.798867;-0.670267;2267.0;1765.0;169980.0;170482.0
179;2021;193;186735.0;136214.0;72.94508260368973;189372.0;73.80975;-0.864668;1607.0;1348.0;134607.0;134866.0
180;2021;195;176271.0;131412.0;74.55111731368177;177469.0;75.613206;-1.062088;2036.0;1760.0;129376.0;129652.0
181;2021;197;195514.0;157718.0;80.66839203330709;197291.0;81.426421;-0.758029;1782.0;1437.0;155936.0;156281.0
182;2021;199;201216.0;145010.0;72.06683365139949;199775.0;72.502065;-0.435231;1507.0;1247.0;143503.0;143763.0
183;2021;201;227207.0;175004.0;77.02403535102351;223942.0;76.981093;0.042942;1752.0;1353.0;173252.0;173651.0
184;2021;203;174082.0;129261.0;74.25293827047024;174727.0;76.300743;-2.047805;1925.0;1677.0;127336.0;127584.0
185;2021;205;219511.0;158052.0;72.00185867678613;220194.0;74.289036;-2.287177;2331.0;2238.0;155721.0;155814.0
186;2021;207;240763.0;188916.0;78.46554495499724;242622.0;79.344824;-0.87928;2462.0;1888.0;186454.0;187028.0
187;2021;209;233901.0;179830.0;76.88295475436189;234422.0;78.906417;-2.023462;3020.0;2704.0;176810.0;177126.0
188;2021;211;197782.0;153176.0;77.44688596535579;198418.0;78.663226;-1.21634;1926.0;1733.0;151250.0;151443.0
189;2021;477;209203.0;154488.0;73.84597735214122;216673.0;73.077402;0.768575;1998.0;1810.0;152490.0;152678.0
190;2021;479;212267.0;156113.0;73.54558174374726;219822.0;73.318867;0.226715;2105.0;1892.0;154008.0;154221.0
191;2021;481;198697.0;154163.0;77.5869791692879;203210.0;76.379115;1.207864;1912.0;1588.0;152251.0;152575.0
192;2021;483;190519.0;142566.0;74.83033188290932;196466.0;74.680097;0.150235;1982.0;1918.0;140584.0;140648.0
193;2021;485;217944.0;166604.0;76.4434900708439;221922.0;75.808167;0.635323;1942.0;1606.0;164662.0;164998.0
194;2021;487;229588.0;168147.0;73.23858389811313;240738.0;73.496083;-0.257499;2517.0;2104.0;165630.0;166043.0
195;2021;489;219437.0;166531.0;75.89011880403032;227191.0;75.043906;0.846213;2037.0;1908.0;164494.0;164623.0
196;2021;491;230071.0;171108.0;74.3718243498746;240992.0;72.595771;1.776054;2146.0;1983.0;168962.0;169125.0
197;2021;385;238118.0;181837.0;76.36423957869629;239284.0;75.896006;0.468233;2058.0;1544.0;179779.0;180293.0
198;2021;387;195109.0;148466.0;76.09387573100165;195618.0;77.491335;-1.397459;1861.0;1379.0;146605.0;147087.0
199;2021;389;193035.0;147127.0;76.21778433962753;196999.0;76.727801;-0.510016;1815.0;1224.0;145312.0;145903.0
200;2021;391;171102.0;134717.0;78.73490666386132;172876.0;78.39087;0.344037;2348.0;1455.0;132369.0;133262.0
201;2021;393;182380.0;138109.0;75.72595679350806;185172.0;75.5557;0.170257;2008.0;1451.0;136101.0;136658.0
202;2021;395;163493.0;124449.0;76.11885524150881;164480.0;77.13947;-1.020615;1852.0;1395.0;122597.0;123054.0
203;2021;397;190530.0;147171.0;77.24295386553298;192846.0;78.586541;-1.343587;1738.0;1540.0;145433.0;145631.0
204;2021;399;210816.0;164165.0;77.87122419550698;210114.0;77.824419;0.046805;2172.0;1454.0;161993.0;162711.0
205;2021;401;249630.0;202670.0;81.18815847454232;248996.0;81.340262;-0.152104;2669.0;1382.0;200001.0;201288.0
206;2021;403;212943.0;166636.0;78.25380500885213;213627.0;79.481058;-1.227253;2491.0;1814.0;164145.0;164822.0
207;2021;405;210969.0;154911.0;73.42832359256573;215595.0;75.079199;-1.650876;2122.0;1653.0;152789.0;153258.0
208;2021;407;219416.0;173828.0;79.2230284026689;220550.0;79.993199;-0.77017;2178.0;1506.0;171650.0;172322.0
209;2021;409;224701.0;169206.0;75.30273563535543;229114.0;75.209721;0.093015;2409.0;1742.0;166797.0;167464.0
210;2021;411;174093.0;132470.0;76.0915143055723;177687.0;76.012877;0.078638;2004.0;1747.0;130466.0;130723.0
211;2021;413;217000.0;171259.0;78.92119815668202;217633.0;79.201684;-0.280485;1627.0;1583.0;169632.0;169676.0
212;2021;76;168656.0;129441.0;76.74852955127596;168221.0;75.368711;1.379818;880.0;681.0;128561.0;128760.0
213;2021;78;200569.0;168337.0;83.92971994675149;198198.0;82.421114;1.508606;1132.0;734.0;167205.0;167603.0
214;2021;80;237250.0;194002.0;81.77112750263436;235746.0;79.172923;2.598204;1237.0;883.0;192765.0;193119.0
215;2021;82;231905.0;192779.0;83.12843621310451;232125.0;82.183737;0.944699;1489.0;927.0;191290.0;191852.0
216;2021;84;238384.0;187395.0;78.61056111148399;238605.0;77.139624;1.470937;1167.0;856.0;186228.0;186539.0
217;2021;86;223683.0;175551.0;78.48204825579056;226436.0;76.929464;1.552585;880.0;649.0;174671.0;174902.0
218;2021;88;242591.0;193958.0;79.95267755192896;239169.0;78.151015;1.801663;906.0;687.0;193052.0;193271.0
219;2021;90;214606.0;172970.0;80.59886489660121;216725.0;78.663283;1.935582;841.0;599.0;172129.0;172371.0
220;2021;92;242252.0;198272.0;81.84535112197217;241282.0;80.154757;1.690594;955.0;647.0;197317.0;197625.0
221;2021;94;234912.0;199333.0;84.8543284293693;235172.0;83.881159;0.973169;1041.0;723.0;198292.0;198610.0
222;2021;96;237390.0;191410.0;80.63102910821854;235170.0;79.300931;1.330098;1346.0;849.0;190064.0;190561.0
223;2021;98;166662.0;136106.0;81.66588664482606;165527.0;80.115027;1.55086;1765.0;750.0;134341.0;135356.0
224;2021;100;214828.0;180978.0;84.24320852030462;213628.0;82.860393;1.382816;1158.0;714.0;179820.0;180264.0
225;2021;102;208815.0;163876.0;78.47903646768671;208466.0;77.046137;1.432899;1282.0;817.0;162594.0;163059.0
226;2021;104;168473.0;138039.0;81.93538430490347;167159.0;80.362409;1.572975;1444.0;879.0;136595.0;137160.0
227;2021;106;166186.0;127193.0;76.53653135643195;166659.0;71.676297;4.860234;691.0;549.0;126502.0;126644.0
228;2021;108;246854.0;195589.0;79.23266384178503;245315.0;77.217047;2.015616;1639.0;823.0;193950.0;194766.0
229;2021;110;177563.0;136625.0;76.9445210995534;177387.0;74.04714;2.897381;1145.0;573.0;135480.0;136052.0
